facility,area_sqm,max_capacity,ac_units,lighting_points,solar_panels,energy_rating,last_audit_date
Academic Block A,13422,1924,27,680,0,A,2025-12-15
Academic Block B,13491,1550,65,719,98,A,2025-10-31
Academic Block C,14250,1883,21,606,70,C,2025-04-05
Library,11824,1455,49,129,172,B,2025-05-28
Hostel Block 1,2467,1699,80,496,124,B,2025-12-14
Hostel Block 2,4743,726,30,495,85,B,2025-12-05
Hostel Block 3,3026,735,108,620,45,A,2025-11-30
Cafeteria,9238,899,29,614,18,A,2025-10-25
Sports Complex,6496,1444,149,536,143,D,2025-11-11
Research Labs,5721,1675,62,317,57,A,2025-11-11
Administration,10891,1345,104,717,143,A,2025-11-25
Auditorium,10299,351,101,126,118,A,2025-08-05
Medical Center,12339,202,57,428,16,B,2025-11-18
